line,loc,DTT,PH,EW
MG_1140,BJ,65,228,70
MG_1140,HeB,60,205.33,58.5
MG_1140,HN,60,188.2,61.8
MG_1140,JL,84,228,149.4
MG_1140,LN,72,228.75,90
MG_1141,BJ,71,212.4,66.67
MG_1141,HeB,66,228.5,51.6
MG_1141,HN,72,225.6,49
MG_1141,JL,86,213.2,67
MG_1141,LN,78,218.2,72
MG_1142,BJ,68,238,97.5
MG_1142,HeB,64,206.4,66.62
MG_1142,HN,66,206.7,65.6
MG_1142,JL,83,219.25,134.2
MG_1142,LN,77,210.8,113
MG_1143,BJ,69,252.5,36.67
MG_1143,HeB,62,236.6,71
MG_1143,HN,60,219.6,110.8
MG_1143,JL,88,244.2,129
MG_1143,LN,73,NA,77.5
MG_1144,BJ,63,225.2,84
MG_1144,HeB,58,232.4,101.4
MG_1144,HN,59,204.5,88.4
MG_1144,JL,85,250,111.4
MG_1144,LN,72,247.6,131
MG_1145-1-1,BJ,64,236.8,92
MG_1145-1-1,HeB,62,227,84.17
MG_1145-1-1,HN,61,209.2,67.4
MG_1145-1-1,JL,83,232.5,103.2
MG_1145-1-1,LN,72,268,158.75
MG_1146,BJ,67,230,120
MG_1146,HeB,62,174.6,71.3
MG_1146,HN,61,187.4,60.8
MG_1146,JL,85,214.4,177.2
MG_1146,LN,76,215,131
MG_1147,BJ,67,224.2,60
MG_1147,HeB,58,196.2,80
MG_1147,HN,60,193.4,55
MG_1147,JL,76,211.4,116.8
MG_1147,LN,71,230.6,103.75
MG_1148,BJ,65,269.6,76
MG_1148,HeB,61,235.6,64.67
MG_1148,HN,56,220.8,53.8
MG_1148,JL,82,275.6,127.6
MG_1148,LN,77,271.38,83.33
MG_1149,BJ,66,241.8,74
MG_1149,HeB,60,186.2,67.2
MG_1149,HN,59,194.6,76.4
MG_1149,JL,86,242.5,135.6
MG_1149,LN,76,234.75,76.25
MG_115,BJ,57,185.2,80
MG_115,HeB,51,170.75,77.2
MG_115,HN,53,170.5,51.2
MG_115,JL,69,196.4,51.2
MG_115,LN,63,207,140
MG_1150,BJ,65,242.8,NA
MG_1150,HeB,57,244.6,88.5
MG_1150,HN,60,224.75,62.4
MG_1150,JL,87,250,102.8
MG_1150,LN,73,254.4,NA
MG_1151,BJ,NA,NA,NA
MG_1151,HeB,62,200.67,94.33
MG_1151,HN,77,NA,NA
MG_1151,JL,89,240,124.4
MG_1151,LN,76,244.2,92
MG_1152,BJ,68,246.4,60
MG_1152,HeB,61,203,105
MG_1152,HN,62,186,64.8
MG_1152,JL,85,252.75,130.4
MG_1152,LN,75,237.72,120
MG_1153,BJ,63,248.6,56.67
MG_1153,HeB,66,207.25,89.62
MG_1153,HN,61,194.8,64.4
MG_1153,JL,78,236.4,164.8
MG_1153,LN,71,239,170.67
MG_1154,BJ,69,208.6,53.33
MG_1154,HeB,62,228,72.6
MG_1154,HN,64,194,47
MG_1154,JL,92,228,164.4
MG_1154,LN,77,232,83.33
MG_1155,BJ,67,254,83.33
MG_1155,HeB,58,234,96.6
MG_1155,HN,62,237.75,75.8
MG_1155,JL,77,214.6,126
MG_1155,LN,70,238.58,155
MG_1156,BJ,68,225,26
MG_1156,HeB,64,228.2,59.8
MG_1156,HN,64,231.2,60.6
MG_1156,JL,88,229.25,76
MG_1156,LN,78,234,92.5
MG_1157,BJ,68,211.4,NA
MG_1157,HeB,62,221,NA
MG_1157,HN,65,172.75,NA
MG_1157,JL,88,222,31
MG_1157,LN,78,214,NA
MG_1158,BJ,66,216.75,NA
MG_1158,HeB,58,237.5,40.5
MG_1158,HN,59,225.25,NA
MG_1158,JL,79,233,120.4
MG_1158,LN,72,241.92,NA
MG_1159,BJ,65,214.2,66.67
MG_1159,HeB,58,213.75,105.17
MG_1159,HN,64,194.6,44.6
MG_1159,JL,80,198,96.2
MG_1159,LN,73,223.7,138.33
MG_116,BJ,60,191.75,92
MG_116,HeB,54,172.2,101.17
MG_116,HN,58,169.5,58
MG_116,JL,75,203.75,125.4
MG_116,LN,70,199.94,120
MG_1160,BJ,69,227.25,16
MG_1160,HeB,67,204.25,74
MG_1160,HN,67,193.4,60.25
MG_1160,JL,90,202.2,140.2
MG_1160,LN,84,187,NA
MG_1161,BJ,67,258.4,25
MG_1161,HeB,64,225.5,155
MG_1161,HN,65,248.75,63.4
MG_1161,JL,85,241,99.2
MG_1161,LN,76,225,NA
MG_1162,BJ,66,255,NA
MG_1162,HeB,61,215,NA
MG_1162,HN,64,200.2,NA
MG_1162,JL,86,230,52
MG_1162,LN,74,230.9,NA
MG_1163,BJ,67,220.8,33.33
MG_1163,HeB,58,185,65.67
MG_1163,HN,63,198.2,55.2
MG_1163,JL,85,249,86.75
MG_1163,LN,73,192.6,117.5
MG_1164,BJ,65,208.5,32.5
MG_1164,HeB,62,208.6,45.65
MG_1164,HN,67,210,74.8
MG_1164,JL,85,222,79.5
MG_1164,LN,77,197.8,56.67
MG_1165,BJ,69,205.8,64
MG_1165,HeB,64,191.5,91.5
MG_1165,HN,66,197.75,73.6
MG_1165,JL,87,194.75,57.8
MG_1165,LN,65,240.9,119
MG_1166,BJ,66,177.75,107.5
MG_1166,HeB,65,164.8,88.5
MG_1166,HN,66,159.4,75.4
MG_1166,JL,84,191.6,96.5
MG_1166,LN,76,180.5,124
MG_1167,BJ,68,228.25,67.5
MG_1167,HeB,58,196.25,59.33
MG_1167,HN,66,169,NA
MG_1167,JL,87,230,76
MG_1167,LN,76,218.2,132.5
MG_1168,BJ,62,212.8,24
MG_1168,HeB,57,188.4,NA
MG_1168,HN,58,177,38.4
MG_1168,JL,77,210,52
MG_1168,LN,71,198.4,78.33
MG_1169,BJ,66,238,118
MG_1169,HeB,59,201,106.38
MG_1169,HN,63,185.8,75.8
MG_1169,JL,86,258,81.6
MG_1169,LN,77,212.2,90
MG_117,BJ,64,268,122
MG_117,HeB,62,217.25,88.1
MG_117,HN,57,216.75,81
MG_117,JL,81,247.8,112.4
MG_117,LN,69,246.12,137
MG_1170,BJ,61,281.4,NA
MG_1170,HeB,69,236.67,NA
MG_1170,HN,57,218,NA
MG_1170,JL,86,276,64.5
MG_1170,LN,68,282.8,NA
MG_1171,BJ,62,198.2,77.5
MG_1171,HeB,55,197.5,80.88
MG_1171,HN,58,185.75,67.8
MG_1171,JL,82,240,43.4
MG_1171,LN,71,190.4,67.5
MG_1172,BJ,63,244,30
MG_1172,HeB,57,202,NA
MG_1172,HN,60,199.25,28.25
MG_1172,JL,79,248,61
MG_1172,LN,70,228.75,140
MG_1173,BJ,67,221.8,70
MG_1173,HeB,60,164.25,61.25
MG_1173,HN,63,168,44.4
MG_1173,JL,87,210,51.2
MG_1173,LN,78,187.5,66.25
MG_1174,BJ,67,259.25,45
MG_1174,HeB,61,237.6,92.83
MG_1174,HN,64,212.5,54
MG_1174,JL,82,261.25,73.2
MG_1174,LN,73,247.25,70
MG_1175,BJ,68,225.5,48
MG_1175,HeB,64,180.6,93
MG_1175,HN,66,176.25,52.4
MG_1175,JL,86,212.5,95.2
MG_1175,LN,77,NA,97.5
MG_1176,BJ,58,256.75,53.33
MG_1176,HeB,55,210,62.25
MG_1176,HN,54,219.4,55.4
MG_1176,JL,73,256.4,76.75
MG_1176,LN,69,266,93.75
MG_1177,BJ,62,232.25,117.5
MG_1177,HeB,56,208.25,91.4
MG_1177,HN,59,204,50.12
MG_1177,JL,76,230.75,129.8
MG_1177,LN,71,214.88,109.5
MG_1178,BJ,65,240.2,NA
MG_1178,HeB,65,199.25,67.25
MG_1178,HN,68,180.67,NA
MG_1178,JL,88,232.25,32.5
MG_1178,LN,75,217.75,NA
MG_1179,BJ,64,243.6,60
MG_1179,HeB,64,222.4,60.38
MG_1179,HN,61,215.8,52
MG_1179,JL,87,237.8,47.5
MG_1179,LN,71,234.6,78
MG_118,BJ,65,225.5,100
MG_118,HeB,61,214.25,112.12
MG_118,HN,59,199,69
MG_118,JL,83,251,176.4
MG_118,LN,72,206,159
MG_1180,BJ,62,235.75,103.33
MG_1180,HeB,61,194.5,83.12
MG_1180,HN,64,193.5,50.6
MG_1180,JL,84,198.2,36
MG_1180,LN,72,225,102
MG_1181,BJ,66,220,22
MG_1181,HeB,54,227.67,47.5
MG_1181,HN,58,201,58
MG_1181,JL,81,223.25,48.8
MG_1181,LN,71,228.4,101
MG_1182,BJ,66,243,57.5
MG_1182,HeB,61,208.25,88.25
MG_1182,HN,58,186.4,66.6
MG_1182,JL,85,227,73.4
MG_1182,LN,75,237,105
MG_1183,BJ,68,210.2,23.33
MG_1183,HeB,56,222,63.5
MG_1183,HN,61,196.8,48
MG_1183,JL,84,211.75,87.4
MG_1183,LN,67,249.5,98.75
MG_1184,BJ,74,159.4,36.67
MG_1184,HeB,65,158.8,27.5
MG_1184,HN,67,138.2,NA
MG_1184,JL,91,159.8,53.5
MG_1184,LN,77,163.25,35
MG_1185,BJ,63,189.6,42.5
MG_1185,HeB,65,147,49.5
MG_1185,HN,62,159.8,38.2
MG_1185,JL,79,176.4,81
MG_1185,LN,74,204.2,110
MG_1186,BJ,71,NA,NA
MG_1186,HeB,58,184.5,53.5
MG_1186,HN,59,125,NA
MG_1186,JL,NA,NA,NA
MG_1186,LN,78,150,NA
MG_1187,BJ,73,189.75,66.67
MG_1187,HeB,64,174.5,47.5
MG_1187,HN,64,151,36.5
MG_1187,JL,91,173,45
MG_1187,LN,80,196.4,NA
MG_1188,BJ,64,218.5,100
MG_1188,HeB,64,171,103.38
MG_1188,HN,61,173.6,92.8
MG_1188,JL,85,192.4,150
MG_1188,LN,74,213.8,151
MG_1189,BJ,63,210.4,127.5
MG_1189,HeB,63,189.6,67.8
MG_1189,HN,57,193.25,79.6
MG_1189,JL,81,220,128.2
MG_1189,LN,75,204.5,95
MG_119,BJ,56,209,100
MG_119,HeB,52,174.25,126.4
MG_119,HN,53,167.75,85.5
MG_119,JL,71,217.5,86.8
MG_119,LN,64,222.5,149
MG_1190,BJ,66,224,40
MG_1190,HeB,60,185.4,49.9
MG_1190,HN,59,188.25,64.4
MG_1190,JL,85,220,141.5
MG_1190,LN,73,216,96.25
MG_1191,BJ,61,214.2,42.5
MG_1191,HeB,60,201.25,68.2
MG_1191,HN,62,211.6,63.8
MG_1191,JL,81,228,63.4
MG_1191,LN,71,227.34,126.67
MG_1192,BJ,63,247,63.33
MG_1192,HeB,56,222.75,77.6
MG_1192,HN,61,215.4,70.4
MG_1192,JL,78,257,102.4
MG_1192,LN,69,242.6,128.75
MG_1193,BJ,61,255.5,113.33
MG_1193,HeB,62,224.4,97.25
MG_1193,HN,63,227.75,74
MG_1193,JL,81,258.75,164.6
MG_1193,LN,73,254.5,132
MG_1194,BJ,67,225,113.33
MG_1194,HeB,64,198.6,114.8
MG_1194,HN,61,190.35,113
MG_1194,JL,87,230,92.4
MG_1194,LN,76,217.38,92
MG_1195,BJ,62,217.5,90
MG_1195,HeB,58,199.25,112
MG_1195,HN,59,209.2,89.6
MG_1195,JL,83,231,136.4
MG_1195,LN,71,204.75,135
MG_1196,BJ,66,188.4,90
MG_1196,HeB,58,183.6,100.33
MG_1196,HN,64,155.75,61.4
MG_1196,JL,83,172,110
MG_1196,LN,73,193,142.5
MG_1197,BJ,65,222,94
MG_1197,HeB,58,187.75,111.33
MG_1197,HN,58,201,84.6
MG_1197,JL,83,213,128.6
MG_1197,LN,69,215.6,127
MG_1198,BJ,64,256,106.67
MG_1198,HeB,56,233,111.62
MG_1198,HN,59,198.4,53.6
MG_1198,JL,81,247.5,49
MG_1198,LN,68,235.75,90
MG_1199,BJ,63,223.6,97.5
MG_1199,HeB,65,191.2,87.5
MG_1199,HN,58,195.5,74
MG_1199,JL,81,230,100.4
MG_1199,LN,77,213.8,103.75
MG_120,BJ,63,218,94
MG_120,HeB,58,186.75,91
MG_120,HN,56,179,71.8
MG_120,JL,79,206,101.6
MG_120,LN,70,215.8,138
MG_1200,BJ,61,236.4,NA
MG_1200,HeB,56,226,69.75
MG_1200,HN,64,198.4,25.5
MG_1200,JL,80,239,50.4
MG_1200,LN,68,232.75,120
MG_1201,BJ,60,236,68
MG_1201,HeB,55,196.6,67.38
MG_1201,HN,56,178,72.2
MG_1201,JL,77,223.75,93.4
MG_1201,LN,69,220.6,126
MG_1202,BJ,65,230,93.33
MG_1202,HeB,62,202.4,80.2
MG_1202,HN,64,195,40.6
MG_1202,JL,80,247.2,83.2
MG_1202,LN,72,231.2,111
MG_1203,BJ,65,195,NA
MG_1203,HeB,57,167.4,132.2
MG_1203,HN,58,165.4,71.6
MG_1203,JL,84,192.75,96.8
MG_1203,LN,74,200.25,137
MG_1204,BJ,64,228.75,90
MG_1204,HeB,60,203,101.2
MG_1204,HN,61,200.2,84.2
MG_1204,JL,85,224,117.67
MG_1204,LN,73,243,59
MG_1205,BJ,66,204,106
MG_1205,HeB,62,178,110.5
MG_1205,HN,56,175.5,98
MG_1205,JL,83,179.25,122.4
MG_1205,LN,75,185.75,125
MG_1206,BJ,64,238.8,147.5
MG_1206,HeB,60,216.2,130
MG_1206,HN,71,185,69
MG_1206,JL,81,213.75,82
MG_1206,LN,71,205.4,178.75
MG_1207,BJ,64,204.8,70
MG_1207,HeB,62,205,117.2
MG_1207,HN,59,192.12,103.2
MG_1207,JL,80,219,157.8
MG_1207,LN,70,221.25,132.5
MG_1208,BJ,65,240,103.33
MG_1208,HeB,60,218.25,90.4
MG_1208,HN,58,188.75,82.4
MG_1208,JL,84,201.25,84.4
MG_1208,LN,73,222,115
MG_1209,BJ,63,232.6,NA
MG_1209,HeB,54,190,122
MG_1209,HN,58,195.2,86
MG_1209,JL,80,245.8,108.8
MG_1209,LN,74,225.5,75
MG_121,BJ,61,213.2,74
MG_121,HeB,57,171,108.67
MG_121,HN,58,158.2,93.8
MG_121,JL,83,207.5,114
MG_121,LN,73,223,148
MG_1210,BJ,58,227.8,78
MG_1210,HeB,54,184,76
MG_1210,HN,54,190,91
MG_1210,JL,80,200,86.2
MG_1210,LN,68,216.6,126.25
MG_1211,BJ,68,211.6,25
MG_1211,HeB,62,196.75,NA
MG_1211,HN,59,176.25,26.75
MG_1211,JL,86,235,12
MG_1211,LN,77,223.45,82.5
MG_1212,BJ,65,199.2,136.67
MG_1212,HeB,63,166,111.12
MG_1212,HN,66,175.8,107
MG_1212,JL,85,202.5,197
MG_1212,LN,77,202.25,108
MG_1213,BJ,62,194.33,25
MG_1213,HeB,69,242,NA
MG_1213,HN,NA,NA,NA
MG_1213,JL,86,201,25.33
MG_1213,LN,NA,NA,NA
MG_1214,BJ,63,166.25,80
MG_1214,HeB,56,158,86.2
MG_1214,HN,NA,NA,NA
MG_1214,JL,78,153.5,73
MG_1214,LN,73,177.8,102
MG_1215,BJ,63,191.2,47.5
MG_1215,HeB,58,181,65.4
MG_1215,HN,60,170.88,49.4
MG_1215,JL,78,175.6,125
MG_1215,LN,72,177,98
MG_1216,BJ,63,213.8,102.5
MG_1216,HeB,62,168.4,96.46
MG_1216,HN,61,156.75,56.8
MG_1216,JL,82,180,113.8
MG_1216,LN,72,202.2,146
MG_1217,BJ,63,220.8,93.33
MG_1217,HeB,56,203.2,119.12
MG_1217,HN,58,201.75,98.8
MG_1217,JL,76,208,115.8
MG_1217,LN,70,231.8,156
MG_1218,BJ,65,227,113.33
MG_1218,HeB,56,199.8,103
MG_1218,HN,57,203.2,70.8
MG_1218,JL,81,216.25,141.5
MG_1218,LN,70,220.5,106
MG_1219,BJ,65,245,80
MG_1219,HeB,56,199.4,98.4
MG_1219,HN,58,191.4,82.8
MG_1219,JL,85,245.4,71.6
MG_1219,LN,72,256.75,144
MG_122,BJ,63,261.25,100
MG_122,HeB,58,204,126.3
MG_122,HN,58,191.4,74.2
MG_122,JL,83,192.25,123.5
MG_122,LN,71,221.8,88
MG_1220,BJ,61,291.2,95
MG_1220,HeB,57,230,90.25
MG_1220,HN,59,233.2,49.2
MG_1220,JL,83,299.5,82.8
MG_1220,LN,73,287.2,78.33
MG_1221,BJ,64,190,53.33
MG_1221,HeB,55,159,47.4
MG_1221,HN,60,174,39.2
MG_1221,JL,77,200,75.8
MG_1221,LN,70,176,NA
MG_1222,BJ,64,282.6,124
MG_1222,HeB,58,267,140.67
MG_1222,HN,59,244.6,91.2
MG_1222,JL,83,275,108.6
MG_1222,LN,72,270.8,162
MG_1223,BJ,68,230.4,83.33
MG_1223,HeB,62,215,80.5
MG_1223,HN,59,244.6,109.6
MG_1223,JL,87,223,98.8
MG_1223,LN,77,242.75,115
MG_1224,BJ,69,253.25,26.67
MG_1224,HeB,62,225.5,88
MG_1224,HN,75,193,15.5
MG_1224,JL,86,259.8,76.2
MG_1224,LN,76,250.8,107.5
MG_1225,BJ,61,246.8,60
MG_1225,HeB,52,214,109.67
MG_1225,HN,54,209,86.8
MG_1225,JL,74,242.5,95
MG_1225,LN,71,243.5,160
MG_1226,BJ,58,193.5,83.33
MG_1226,HeB,56,191,92.5
MG_1226,HN,56,165.25,85.8
MG_1226,JL,77,171.2,95.2
MG_1226,LN,66,210,106.67
MG_1227,BJ,66,243,112.5
MG_1227,HeB,58,203.33,84.6
MG_1227,HN,59,207.2,71.4
MG_1227,JL,75,222.4,68.2
MG_1227,LN,72,249.38,132.5
MG_1228,BJ,62,243,100
MG_1228,HeB,56,202.6,97.8
MG_1228,HN,58,194.25,87.8
MG_1228,JL,79,220.5,113.4
MG_1228,LN,73,236.8,137
MG_1229,BJ,62,236.2,66.67
MG_1229,HeB,52,196.67,137.4
MG_1229,HN,58,206.25,77.2
MG_1229,JL,76,223,89
MG_1229,LN,73,219.6,146.25
MG_123,BJ,59,253.25,98
MG_123,HeB,53,204.5,100.3
MG_123,HN,54,198.8,80.2
MG_123,JL,83,246.8,82.6
MG_123,LN,71,243.3,153
MG_1230,BJ,63,224.4,82
MG_1230,HeB,57,211,95.62
MG_1230,HN,56,179.92,91.8
MG_1230,JL,80,232,59.8
MG_1230,LN,68,225.8,145
MG_1231,BJ,64,250.4,110
MG_1231,HeB,58,209.6,130.38
MG_1231,HN,58,153.2,56
MG_1231,JL,81,225.2,72.6
MG_1231,LN,73,225.25,123.75
MG_1232,BJ,59,211.6,140
MG_1232,HeB,52,180.8,141
MG_1232,HN,54,184.75,104.4
MG_1232,JL,75,220.5,219.2
MG_1232,LN,68,232,181
MG_1233,BJ,66,272,NA
MG_1233,HeB,58,224.5,93.38
MG_1233,HN,58,236.5,89.4
MG_1233,JL,84,282.5,140.4
MG_1233,LN,70,281.5,182.5
MG_1234,BJ,67,241.5,104
MG_1234,HeB,60,219.2,88.83
MG_1234,HN,64,227,66.4
MG_1234,JL,85,242,82
MG_1234,LN,80,236.8,101.25
MG_1235,BJ,61,214.2,115
MG_1235,HeB,62,175.4,107.75
MG_1235,HN,60,168.4,53
MG_1235,JL,85,208.6,104.2
MG_1235,LN,71,203,117
MG_1236,BJ,65,196,110
MG_1236,HeB,60,174.2,92.3
MG_1236,HN,59,172.6,102.2
MG_1236,JL,78,198.6,137
MG_1236,LN,71,199.4,155
MG_1237,BJ,67,221,113.33
MG_1237,HeB,61,221.4,113.7
MG_1237,HN,64,208,76.75
MG_1237,JL,85,246.5,113.8
MG_1237,LN,75,214.4,190
MG_1238,BJ,57,188.8,68
MG_1238,HeB,53,174,66.3
MG_1238,HN,53,155.2,50.6
MG_1238,JL,72,178,105
MG_1238,LN,64,197.2,NA
MG_1239,BJ,64,209,110
MG_1239,HeB,60,179.5,105
MG_1239,HN,56,206.6,98.4
MG_1239,JL,83,223,115.4
MG_1239,LN,73,217.3,165
MG_124,BJ,60,215.4,92
MG_124,HeB,56,189.6,105.38
MG_124,HN,58,191,59.8
MG_124,JL,76,212.4,99.8
MG_124,LN,71,205,130
MG_1240,BJ,67,232.25,46.67
MG_1240,HeB,62,202.25,79.9
MG_1240,HN,70,125,NA
MG_1240,JL,83,236.5,84.8
MG_1240,LN,72,220.7,107.5
MG_1241,BJ,64,257.6,42.5
MG_1241,HeB,62,237.6,84.5
MG_1241,HN,58,213.4,80.4
MG_1241,JL,83,259,92
MG_1241,LN,73,271,121
MG_1242,BJ,67,244.2,68
MG_1242,HeB,60,216.25,146.4
MG_1242,HN,69,153.5,NA
MG_1242,JL,84,242.6,134
MG_1242,LN,74,214.2,151
MG_1243,BJ,60,243.2,76.67
MG_1243,HeB,58,188.6,60.83
MG_1243,HN,56,181.25,55
MG_1243,JL,73,209.6,54
MG_1243,LN,68,209.28,118.33
MG_1244,BJ,58,200,70
MG_1244,HeB,53,180.25,67
MG_1244,HN,54,165,61.4
MG_1244,JL,73,197.25,103.2
MG_1244,LN,66,205.25,92.5
MG_1245,BJ,65,200,NA
MG_1245,HeB,66,151,NA
MG_1245,HN,61,175.33,91
MG_1245,JL,94,180,50
MG_1245,LN,NA,NA,NA
MG_1246,BJ,64,245.2,52.5
MG_1246,HeB,60,227.75,NA
MG_1246,HN,62,192.62,82.8
MG_1246,JL,82,241,25
MG_1246,LN,73,218.4,122.5
MG_1247,BJ,63,243.25,62
MG_1247,HeB,55,205,120.33
MG_1247,HN,57,190.4,90.6
MG_1247,JL,78,232,87.2
MG_1247,LN,70,222.8,137
MG_1248,BJ,61,226.5,92
MG_1248,HeB,52,205,146.7
MG_1248,HN,60,194.6,93.6
MG_1248,JL,73,213,124
MG_1248,LN,68,221.5,161
MG_1249,BJ,60,208.4,70
MG_1249,HeB,55,192.6,97
MG_1249,HN,57,185.75,67.6
MG_1249,JL,76,178.6,117.8
MG_1249,LN,71,180.64,152.5
MG_125,BJ,64,251,104
MG_125,HeB,58,199.2,144
MG_125,HN,60,222,90
MG_125,JL,82,221.5,164.8
MG_125,LN,75,248.16,153
MG_1250,BJ,65,238.4,112
MG_1250,HeB,61,224,87.6
MG_1250,HN,59,199.75,96.4
MG_1250,JL,82,201.6,77.4
MG_1250,LN,73,239.2,98
MG_1251,BJ,72,207.4,64
MG_1251,HeB,64,206.6,72.2
MG_1251,HN,62,197.2,71.6
MG_1251,JL,91,197,73.4
MG_1251,LN,81,212.8,83.33
MG_1252,BJ,65,206.25,NA
MG_1252,HeB,55,180,112
MG_1252,HN,56,184.2,47
MG_1252,JL,86,161.4,NA
MG_1252,LN,72,205.2,115
MG_1253,BJ,63,211,116.67
MG_1253,HeB,56,182.6,125.62
MG_1253,HN,58,186.5,97.4
MG_1253,JL,76,190.8,83
MG_1253,LN,71,226.62,122.5
MG_1254,BJ,69,225.75,90
MG_1254,HeB,63,220,146.17
MG_1254,HN,68,225.73,108.67
MG_1254,JL,NA,NA,NA
MG_1254,LN,78,189.33,190
MG_1255,BJ,68,211.6,90
MG_1255,HeB,58,203.75,112.6
MG_1255,HN,58,166.4,72.4
MG_1255,JL,84,210,136.6
MG_1255,LN,77,209,118.75
MG_1256,BJ,65,220,100
MG_1256,HeB,60,184.6,116
MG_1256,HN,59,170.8,61
MG_1256,JL,85,200.5,96.2
MG_1256,LN,72,216.75,109
MG_1257,BJ,65,209.8,83.33
MG_1257,HeB,62,193.8,94.12
MG_1257,HN,64,155,60
MG_1257,JL,83,230.8,77.2
MG_1257,LN,73,210.75,69
MG_1258,BJ,68,221,136.67
MG_1258,HeB,62,197,97.38
MG_1258,HN,64,228.6,100.4
MG_1258,JL,87,250,121.4
MG_1258,LN,77,232.6,132.5
MG_1259,BJ,66,238.4,130
MG_1259,HeB,65,226.4,118.9
MG_1259,HN,61,217.75,124.2
MG_1259,JL,84,255.5,180
MG_1259,LN,73,247.5,183
MG_126,BJ,68,222.4,132.5
MG_126,HeB,63,194,86.5
MG_126,HN,66,174.4,43.6
MG_126,JL,87,209.6,111.6
MG_126,LN,74,210.2,180
MG_1260,BJ,62,195.4,98
MG_1260,HeB,57,152.2,55.9
MG_1260,HN,61,168.8,58.8
MG_1260,JL,81,187.4,103.8
MG_1260,LN,70,193.75,119
MG_1261,BJ,60,212.2,36
MG_1261,HeB,56,178.2,54
MG_1261,HN,59,174,62
MG_1261,JL,76,209.25,93.6
MG_1261,LN,72,216.2,108
MG_1262,BJ,56,249,87.5
MG_1262,HeB,54,176.8,69.83
MG_1262,HN,52,183.6,63.8
MG_1262,JL,69,202.4,74.6
MG_1262,LN,64,214.2,113.75
MG_1263,BJ,63,203.2,106.67
MG_1263,HeB,66,178.25,55.25
MG_1263,HN,65,164.8,44.4
MG_1263,JL,84,210,74.6
MG_1263,LN,72,196.25,80
MG_1264,BJ,65,196,62
MG_1264,HeB,61,184,56.2
MG_1264,HN,64,162.75,49
MG_1264,JL,83,185.6,85
MG_1264,LN,73,183.4,70
MG_1265,BJ,63,211.8,102.5
MG_1265,HeB,58,217.6,98.5
MG_1265,HN,61,180.8,67
MG_1265,JL,85,225,141.4
MG_1265,LN,71,227.6,130
MG_1266,BJ,63,217.6,104
MG_1266,HeB,58,178.75,95.88
MG_1266,HN,58,167.4,80.2
MG_1266,JL,82,194.6,142.8
MG_1266,LN,72,200.4,149
MG_1267,BJ,65,213.8,157.5
MG_1267,HeB,62,209.75,133
MG_1267,HN,76,NA,NA
MG_1267,JL,86,247.75,152.6
MG_1267,LN,77,219.56,153.75
MG_1268,BJ,63,236.8,46.67
MG_1268,HeB,58,208,86.67
MG_1268,HN,57,198.75,41.8
MG_1268,JL,80,238,79.6
MG_1268,LN,72,237.54,126.67
MG_1269,BJ,67,250.2,96
MG_1269,HeB,61,234.33,88
MG_1269,HN,60,199,120
MG_1269,JL,83,256.5,130.2
MG_1269,LN,75,253.8,NA
MG_127,BJ,66,204.25,83.33
MG_127,HeB,62,177.4,75.38
MG_127,HN,61,178,77
MG_127,JL,89,215.6,71
MG_127,LN,71,190.4,108
MG_1270,BJ,62,232.2,90
MG_1270,HeB,55,187,73.7
MG_1270,HN,56,203,55.4
MG_1270,JL,82,222,84.6
MG_1270,LN,71,231.4,105
MG_1271,BJ,64,195.5,50
MG_1271,HeB,57,215,114.67
MG_1271,HN,59,179.4,67.4
MG_1271,JL,79,207.2,83.2
MG_1271,LN,72,239.97,139
MG_1272,BJ,61,224.5,90
MG_1272,HeB,57,213,96.1
MG_1272,HN,56,206.25,81.8
MG_1272,JL,75,213,128.4
MG_1272,LN,70,246.25,150
MG_1273,BJ,69,220.8,82.5
MG_1273,HeB,57,215.6,64.5
MG_1273,HN,59,186.2,60.8
MG_1273,JL,81,226.4,96.6
MG_1273,LN,71,212.4,116.25
MG_1274,BJ,67,261.6,112.5
MG_1274,HeB,59,228,108.8
MG_1274,HN,57,206.2,94
MG_1274,JL,89,271,128
MG_1274,LN,76,254.5,136
MG_1275,BJ,67,251,108
MG_1275,HeB,59,222,85.8
MG_1275,HN,58,196.8,77.4
MG_1275,JL,87,266.4,102.4
MG_1275,LN,78,240.6,107
MG_1276,BJ,67,193,106.67
MG_1276,HeB,64,180.8,123.8
MG_1276,HN,65,162.88,94.8
MG_1276,JL,83,169,91.6
MG_1276,LN,69,200,120
MG_1277,BJ,67,246,56.67
MG_1277,HeB,60,228.6,109.67
MG_1277,HN,59,235.75,68.4
MG_1277,JL,85,272,112.8
MG_1277,LN,75,242,121
MG_1278,BJ,64,253.2,113.33
MG_1278,HeB,60,244.6,79.1
MG_1278,HN,61,205.05,72.2
MG_1278,JL,83,274.75,64.2
MG_1278,LN,71,250.9,109
MG_1279,BJ,63,248.5,36
MG_1279,HeB,62,216,88.38
MG_1279,HN,71,171.2,29.8
MG_1279,JL,84,232.75,89.6
MG_1279,LN,75,216.8,93
MG_128,BJ,60,223,132.5
MG_128,HeB,62,189.5,106.6
MG_128,HN,56,179.38,81.4
MG_128,JL,81,257,108
MG_128,LN,68,226.75,144
MG_1280,BJ,58,245,103.33
MG_1280,HeB,53,203.5,80.2
MG_1280,HN,53,215.25,81.8
MG_1280,JL,78,215.6,58.8
MG_1280,LN,71,239.55,128
MG_1281,BJ,68,237,80
