line,loc,DTT,PH,EW
MG_1027,LN,70,197.3,90
MG_1028,BJ,63,238.2,97.5
MG_1028,HeB,54,198.4,139.7
MG_1028,HN,60,227,106.6
MG_1028,JL,84,240.5,91.8
MG_1028,LN,73,219.75,164
MG_1029,BJ,68,203.25,90
MG_1029,HeB,69,203.4,103.3
MG_1029,HN,66,196.6,91.6
MG_1029,JL,83,215,132.8
MG_1029,LN,76,200.2,91.25
MG_103,BJ,65,226.4,90
MG_103,HeB,58,211.2,97.8
MG_103,HN,59,207.5,90.2
MG_103,JL,82,197.2,68
MG_103,LN,75,235.8,121
MG_1030,BJ,63,227.4,74
MG_1030,HeB,59,209.8,67.4
MG_1030,HN,60,194.8,53.4
MG_1030,JL,80,227,54
MG_1030,LN,71,239.6,82
MG_1031,BJ,68,224.4,120
MG_1031,HeB,61,187.8,79.83
MG_1031,HN,65,151.25,51.6
MG_1031,JL,84,214,182.8
MG_1031,LN,73,237.4,167.5
MG_1032,BJ,65,240.6,102.5
MG_1032,HeB,55,220,116.9
MG_1032,HN,59,215.6,125.6
MG_1032,JL,82,228.6,125.2
MG_1032,LN,70,253.75,127
MG_1033,BJ,57,207.4,60
MG_1033,HeB,55,173.75,100.67
MG_1033,HN,57,168.75,77.2
MG_1033,JL,79,199.2,96.4
MG_1033,LN,72,193.25,105
MG_1034,BJ,64,231.8,106.67
MG_1034,HeB,56,193,125.6
MG_1034,HN,60,194.8,86.8
MG_1034,JL,82,219.4,154.5
MG_1034,LN,73,241,166
MG_1035,BJ,66,226.6,92
MG_1035,HeB,60,224.5,85.33
MG_1035,HN,58,205.5,69.6
MG_1035,JL,85,244.2,134.6
MG_1035,LN,71,233.2,94
MG_1036,BJ,69,206.75,66.67
MG_1036,HeB,NA,NA,68
MG_1036,HN,59,185.6,55
MG_1036,JL,86,220.25,120.8
MG_1036,LN,76,228.2,121
MG_1037,BJ,67,240.75,78
MG_1037,HeB,67,243.6,95.6
MG_1037,HN,74,158.5,37
MG_1037,JL,85,266.75,43
MG_1037,LN,75,261.25,121
MG_1038,BJ,65,216,93.33
MG_1038,HeB,55,217,77.62
